participant,block,label,valence,target,tablerow,keypress,acc,RT,target.val
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,RASSICURANTE,5,2,1,2139,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,RASSICURANTE,15,1,1,2845,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,BUONO,11,2,1,1867,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,SALUTARE,12,1,1,3652,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,DANNOSO,18,2,1,2963,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,PERICOLOSO,19,2,1,2337,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,UTILE,3,2,1,2391,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,PERICOLOSO,9,2,1,3530,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,BUONO,1,1,1,2539,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,INNOCUO,14,2,1,3406,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,PERICOLOSO,9,1,1,3064,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SALUTARE,12,1,1,2464,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,PERICOLOSO,19,1,1,2115,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,UTILE,3,1,1,2080,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,DANNOSO,8,1,1,2000,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,RASSICURANTE,5,2,1,2877,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,INNOCUO,4,1,1,2823,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SPAVENTOSO,20,1,1,2107,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,BUONO,11,1,1,2774,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,RASSICURANTE,15,2,1,2439,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,INNOCUO,14,1,1,2903,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,CATTIVO,6,1,1,3209,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,SALUTARE,2,2,1,1912,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,SPAVENTOSO,10,2,1,2594,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,UTILE,13,1,1,3328,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,DANNOSO,18,1,1,3111,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,BUONO,1,1,1,2522,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,MORTALE,17,2,1,2312,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,UTILE,3,1,1,2620,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,MORTALE,17,2,1,3582,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,DANNOSO,18,1,1,3233,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,BUONO,1,1,1,3487,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,CATTIVO,16,1,1,2304,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,BUONO,11,2,1,3112,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,MORTALE,7,2,1,3664,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,UTILE,13,2,1,2990,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,SALUTARE,2,1,1,2044,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,PERICOLOSO,19,1,1,2719,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,MORTALE,17,2,1,2553,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,SPAVENTOSO,20,1,1,3582,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,INNOCUO,4,2,1,2773,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,SALUTARE,12,2,1,3031,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,SPAVENTOSO,10,1,1,2514,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,UTILE,3,2,1,2716,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,RASSICURANTE,15,2,1,2111,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,CATTIVO,6,2,1,5461,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,RASSICURANTE,5,2,1,1912,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,INNOCUO,14,1,1,2359,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,PERICOLOSO,9,1,1,2367,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,MORTALE,17,2,1,4029,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,DANNOSO,8,2,1,1911,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,SPAVENTOSO,10,2,1,3379,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,PERICOLOSO,9,1,0,2119,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,RASSICURANTE,5,1,1,4378,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SALUTARE,12,2,1,3118,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,RASSICURANTE,15,2,1,3284,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,SALUTARE,2,1,1,3231,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,CATTIVO,6,2,1,6510,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,INNOCUO,14,1,1,2743,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,UTILE,13,2,1,3736,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,PERICOLOSO,19,2,1,2218,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,CATTIVO,16,2,1,2654,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,MORTALE,7,2,1,2416,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,BUONO,11,1,1,4946,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,INNOCUO,4,2,1,3949,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,BUONO,1,1,1,1621,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,DANNOSO,18,2,1,2835,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SPAVENTOSO,20,1,1,4175,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,MORTALE,7,2,1,4630,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,BUONO,1,2,1,1743,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,UTILE,3,2,1,2460,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,CATTIVO,16,2,1,3076,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,BUONO,1,1,1,1797,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,INNOCUO,14,1,1,2994,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,DANNOSO,18,2,1,2617,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,CATTIVO,6,1,1,2414,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,PERICOLOSO,19,2,1,2033,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,MORTALE,7,1,1,2809,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,RASSICURANTE,5,1,1,2545,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,SPAVENTOSO,20,1,1,2246,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,INNOCUO,4,1,1,2131,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,SALUTARE,12,2,1,4250,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,BUONO,11,2,1,2226,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,SPAVENTOSO,10,1,1,3275,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,UTILE,13,1,1,4509,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,SALUTARE,2,1,1,4149,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,DANNOSO,8,2,1,1945,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,RASSICURANTE,15,2,1,2037,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,UTILE,3,2,1,4082,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,RASSICURANTE,15,2,1,2690,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,SALUTARE,2,2,1,2631,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,UTILE,13,2,1,2122,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,MORTALE,17,1,1,2114,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,INNOCUO,14,2,1,2887,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SPAVENTOSO,20,2,1,2247,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,SPAVENTOSO,10,1,1,2044,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,UTILE,3,1,1,1854,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,RASSICURANTE,15,1,1,2181,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SALUTARE,12,2,1,3050,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,BUONO,11,2,1,2044,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,CATTIVO,16,1,1,1608,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,PERICOLOSO,19,1,1,3140,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,RASSICURANTE,5,1,1,2425,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,DANNOSO,8,2,1,2112,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,DANNOSO,18,2,1,5913,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,PERICOLOSO,9,2,1,2038,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,CATTIVO,6,2,1,2103,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,VACCINO,POS,INNOCUO,4,1,1,1568,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,CATTIVO,16,1,1,2565,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testA,COVID19,NEG,SPAVENTOSO,20,1,1,3550,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,DANNOSO,18,1,1,2638,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,CATTIVO,6,1,1,5863,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,DANNOSO,8,2,1,1906,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,SPAVENTOSO,20,1,1,2134,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,BUONO,11,1,1,1631,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,BUONO,1,1,1,1802,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,SPAVENTOSO,10,2,1,2617,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,CATTIVO,16,2,1,2264,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,SALUTARE,2,2,1,5862,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,INNOCUO,14,1,1,3156,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,MORTALE,17,2,1,1774,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,PERICOLOSO,19,1,1,2013,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,SALUTARE,12,2,1,2455,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,INNOCUO,4,2,1,2742,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,PERICOLOSO,9,2,1,1707,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,UTILE,13,2,1,3101,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,MORTALE,7,2,1,2004,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,RASSICURANTE,5,1,1,1566,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,COVID19,POS,CATTIVO,16,2,1,3054,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,testB,VACCINO,NEG,PERICOLOSO,9,2,1,2422,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,DANNOSO,8,2,1,3715,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,DANNOSO,18,1,0,1432,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,SPAVENTOSO,10,2,1,2654,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,CATTIVO,16,2,1,2839,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,BUONO,11,1,1,2222,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,PERICOLOSO,9,1,1,2763,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,MORTALE,7,2,1,1759,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,INNOCUO,4,2,1,3191,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,MORTALE,17,2,1,1636,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,UTILE,13,2,1,2889,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,UTILE,3,1,1,1363,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,BUONO,1,2,1,1682,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,SALUTARE,12,1,1,3889,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,SALUTARE,2,2,1,1486,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,PERICOLOSO,19,2,1,5984,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,RASSICURANTE,15,2,1,2515,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,SPAVENTOSO,20,2,1,2081,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,COVID19,NEG,INNOCUO,14,1,1,2418,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,RASSICURANTE,5,1,1,3271,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceAfirst,VACCINO,POS,CATTIVO,6,2,1,1466,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,BUONO,11,2,0,2408,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,RASSICURANTE,5,2,1,2469,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,CATTIVO,6,1,0,2608,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,BUONO,1,2,0,2152,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,SALUTARE,2,1,1,2595,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,UTILE,13,1,0,1707,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,UTILE,3,2,1,2509,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,CATTIVO,16,1,0,2330,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,INNOCUO,14,1,0,3648,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,PERICOLOSO,19,2,0,3158,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,MORTALE,7,2,1,2439,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,DANNOSO,18,2,1,2619,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,RASSICURANTE,15,1,0,2031,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,MORTALE,17,2,1,2419,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,INNOCUO,4,1,1,2030,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,PERICOLOSO,9,1,1,2387,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,SPAVENTOSO,20,1,1,1792,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,COVID19,POS,SALUTARE,12,1,0,2634,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,SPAVENTOSO,10,1,0,2689,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBfirst,VACCINO,NEG,DANNOSO,8,2,0,1444,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,PERICOLOSO,9,1,0,1883,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,BUONO,1,2,1,2663,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,CATTIVO,16,1,1,2134,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,DANNOSO,18,1,1,1638,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,UTILE,3,2,0,1371,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,UTILE,13,1,0,1326,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,SPAVENTOSO,10,2,0,2139,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,DANNOSO,8,1,1,1809,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,BUONO,11,1,1,2063,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,MORTALE,7,2,1,2023,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,RASSICURANTE,5,2,1,1624,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,SALUTARE,12,2,1,2091,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,SPAVENTOSO,20,2,1,1237,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,INNOCUO,4,2,1,3108,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,SALUTARE,2,2,1,2391,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,MORTALE,17,2,1,2515,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,INNOCUO,14,2,1,1204,POS
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,VACCINO,NEG,CATTIVO,6,2,1,1684,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,PERICOLOSO,19,2,1,2108,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,practiceBother,COVID19,POS,RASSICURANTE,15,2,1,1330,POS
2ecd1260-260d-443e-abf6-67dadd61b673,testA,VACCINO,POS,RASSICURANTE,5,1,1,3610,POS
2ecd1260-260d-443e-abf6-67dadd61b673,testA,VACCINO,POS,MORTALE,7,1,1,1859,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,testA,COVID19,NEG,CATTIVO,16,2,1,1516,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,testA,VACCINO,POS,SPAVENTOSO,10,1,1,3345,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,testA,COVID19,NEG,SPAVENTOSO,20,2,0,1301,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,testA,COVID19,NEG,INNOCUO,14,2,1,2302,POS
2ecd1260-260d-443e-abf6-67dadd61b673,testA,VACCINO,POS,SALUTARE,2,1,1,1308,POS
2ecd1260-260d-443e-abf6-67dadd61b673,testA,COVID19,NEG,BUONO,11,2,1,2728,POS
2ecd1260-260d-443e-abf6-67dadd61b673,testA,COVID19,NEG,UTILE,13,2,1,1609,POS
2ecd1260-260d-443e-abf6-67dadd61b673,testA,VACCINO,POS,DANNOSO,8,2,0,2524,NEG
2ecd1260-260d-443e-abf6-67dadd61b673,testA,COVID19,NEG,DANNOSO,18,2,0,2223,NEG
